"ID Respecto a los recursos y el presupuesto (Periodo-Partida)","Denominación de Cada Partida","Presupuesto Total Asignado a Cada Partida","Presupuesto Ejercido Al Periodo Reportado de Cada Partida"
2018-33604,"Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades",0.00,0.00
2018-36102,"Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",7530125.00,5995921.12
2018-36101,"Difusión de mensajes sobre programas y actividades gubernamentales",9949729.00,7477171.44
2018-36202,"Difusión por radio, televisión y otros medios de mensajes comerciales para promover la venta de bienes o servicios",3678025.00,4267385.53
2018-36201,"Difusión de mensajes comerciales para promover la venta de productos o servicios",5600125.00,7580070.20
2019-36102,"Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",7883238.93,4512820.32
2019-36101,"Difusión de mensajes sobre programas y actividades gubernamentales",17689892.33,2086170.45
2019-36202,"Difusión por radio, televisión y otros medios de mensajes comerciales para promover la venta de bienes o servicios",3557084.38,498420.00
2019-36201,"Difusión de mensajes comerciales para promover la venta de productos o servicios",9951013.10,4782964.00
2019-36501,"Servicios de la industria fílmica, del sonido y del video",0.00,0.00
2019-36401,"Servicios de revelado e impresión de fotografías",0.00,0.00
2020-36102,"Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",15225692.69,516345.00
2020-36101,"Difusión de mensajes sobre programas y actividades gubernamentales",15625048.81,388600.00
2020-36202,"Difusión por radio, televisión y otros medios de mensajes comerciales para promover la venta de bienes o servicios",6948834.90,0.00
2020-36201,"Difusión de mensajes comerciales para promover la venta de productos o servicios",11284820.02,0.00
2020-36901,"Servicios relacionados con monitoreo de información en medios masivos",0.00,0.00
