#,Ejercicio,Trimestre,Contrato,"Sujeto obligado contratante","Sujeto obligado solicitante",Proveedor,"Monto total del contrato","Monto total ejercido"
1,2020,abril-junio,AD090/2020,Chihuahua,Chihuahua,www.circulorojo.com.mx,"$ 216,000.00","$ 216,000.00"
2,2020,abril-junio,AD126/2020,Chihuahua,Chihuahua,"Jessica Arely Medina Valerio","$ 190,080.00","$ 190,080.00"
3,2020,abril-junio,AD106/2020,Chihuahua,Chihuahua,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.","$ 6,500,000.00","$ 6,499,999.99"
4,2020,abril-junio,AD078/2020,Chihuahua,Chihuahua,"Imprenta Siglo XXV, S.A. de C.V.","$ 3,105,273.60","$ 3,105,273.60"
5,2020,abril-junio,AD070/2020,Chihuahua,Chihuahua,"Cabafam, S.A. de C.V.","$ 1,856,000.00","$ 1,856,000.00"
6,2020,abril-junio,AD089/2020,Chihuahua,Chihuahua,"Omnia Comunicaciones, S. de R.L. de C.V.","$ 147,000.00","$ 147,000.00"
7,2020,abril-junio,AD116/2020,Chihuahua,Chihuahua,"Periodico Digital Sendero, S.A.P.I. de C.V.","$ 320,000.00","$ 320,000.00"
8,2020,abril-junio,AD094/2020,Chihuahua,Chihuahua,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.","$ 1,490,000.00","$ 1,490,000.00"
9,2020,abril-junio,AD100/2020,Chihuahua,Chihuahua,"La Ventana del Juicio.mx","$ 120,000.00","$ 110,999.99"
10,2020,abril-junio,AD097/2020,Chihuahua,Chihuahua,"ASERTO RADIO","$ 120,000.00","$ 119,999.96"
11,2020,abril-junio,AD128/2020,Chihuahua,Chihuahua,"El Pueblo Familiar, S.A. de C.V.","$ 180,000.00","$ 180,000.00"
12,2020,abril-junio,AD109/2020,Chihuahua,Chihuahua,"Merboca, S.A. de C.V.","$ 361,920.00","$ 361,919.99"
13,2020,abril-junio,AD059/2020,Chihuahua,Chihuahua,"Comercializadora Tosgon, S.A. de C.V.","$ 288,000.00","$ 288,000.00"
14,2020,abril-junio,AD081/2020,Chihuahua,Chihuahua,www.platicachihuahua.com,"$ 83,520.00","$ 32,000.00"
15,2020,abril-junio,AD072/2020,Chihuahua,Chihuahua,"Unidad Corporativa de Televisión, S.A. de C.V.","$ 3,872,000.00","$ 3,871,500.00"
16,2020,abril-junio,AD099/2020,Chihuahua,Chihuahua,"""No le cambie""","$ 400,000.00","$ 399,999.99"
17,2020,abril-junio,AD055/2020,Chihuahua,Chihuahua,"Radio Lobo, S.A. de C.V.","$ 821,375.93","$ 821,375.92"
18,2020,abril-junio,AD093/2020,Chihuahua,Chihuahua,"Fénix Comunicaciones, S.A. de C.V.","$ 120,000.00","$ 120,000.00"
19,2020,abril-junio,AD088/2020,Chihuahua,Chihuahua,"Programa CONTRASTE","$ 191,520.00","$ 191,520.00"
20,2020,abril-junio,AD125/2020,Chihuahua,Chihuahua,"AA Print, S.A. de C.V.","$ 1,000,000.00","$ 999,999.99"
21,2020,abril-junio,AD105/2020,Chihuahua,Chihuahua,"Editorial E Imagen Publica, S.A. de C.V.","$ 212,090.00","$ 212,090.00"
22,2020,abril-junio,AD077/2020,Chihuahua,Chihuahua,elresumen.net,"$ 57,600.00","$ 57,600.00"
23,2020,julio-septiembre,AD054/2020,Chihuahua,Chihuahua,"NN NUESTRAS NOTICIAS","$ 253,417.08","$ 253,417.08"
24,2020,abril-junio,AD082/2020,Chihuahua,Chihuahua,"Publicaciones del Chuviscar, S.A. de C.V.","$ 1,250,000.00","$ 1,250,000.00"
25,2020,abril-junio,AD075/2020,Chihuahua,Chihuahua,"Multimedios, S.A. de C.V.","$ 1,856,000.00","$ 1,855,974.00"
26,2020,abril-junio,AD058/2020,Chihuahua,Chihuahua,"Comunicaciones Chihua, S.A. de C.V.","$ 670,209.74","$ 670,209.72"
27,2020,abril-junio,AD086/2020,Chihuahua,Chihuahua,"Periódicos Digitales de Chihuahua, S.A. de C.V.","$ 124,800.00","$ 124,799.99"
28,2020,abril-junio,AD123/2020,Chihuahua,Chihuahua,"Expansión, S.A. de C.V.","$ 400,000.00","$ 400,000.00"
29,2020,abril-junio,AD095/2020,Chihuahua,Chihuahua,alcontacto.com.mx,"$ 278,400.00","$ 278,000.00"
30,2020,abril-junio,AD102/2020,Chihuahua,Chihuahua,"""Plan de vuelo"", Radio 102.5 FM","$ 174,000.00","$ 174,000.00"
31,2020,abril-junio,AD108/2020,Chihuahua,Chihuahua,"Publicaciones del Chuviscar, S.A. de C.V.","$ 4,000,000.00","$ 3,999,999.00"
32,2020,abril-junio,AD080/2020,Chihuahua,Chihuahua,WWW.ADRIANARUIZ.COM.MX,"$ 360,000.00","$ 360,000.00"
33,2020,abril-junio,AD071/2020,Chihuahua,Chihuahua,"Tv Azteca, S.A.B. de C.V.","$ 1,920,000.00","$ 1,919,742.00"
34,2020,abril-junio,AD053/2020,Chihuahua,Chihuahua,"Radio Impulsora X.E.E., S.A","$ 635,866.49","$ 635,829.65"
35,2020,abril-junio,AD091/2020,Chihuahua,Chihuahua,"Porlalibre, S.A. de C.V.","$ 278,400.00","$ 278,400.00"
36,2020,abril-junio,AD119/2020,Chihuahua,Chihuahua,"Now New Media S.A.P.I de C.V.","$ 320,000.00","$ 320,000.00"
37,2020,abril-junio,AD098/2020,Chihuahua,Chihuahua,"Radio América de México, S.A. de C.V.","$ 334,000.00","$ 333,935.40"
38,2020,abril-junio,AD101/2020,Chihuahua,Chihuahua,"Imagen Radio Comercial, S.A. de C.V.","$ 860,000.00","$ 859,995.00"
39,2020,abril-junio,AD104/2020,Chihuahua,Chihuahua,"Cazonci Editores, S.A. de C.V.","$ 144,000.00","$ 144,000.00"
40,2020,abril-junio,AD076/2020,Chihuahua,Chihuahua,www.lajiribilla.com.mx,"$ 144,000.00","$ 144,000.00"
41,2020,abril-junio,AD069/2020,Chihuahua,Chihuahua,"NOTICIERO CHIHUAHUA DIGITAL","$ 268,416.00","$ 268,192.00"
42,2020,abril-junio,AD087/2020,Chihuahua,Chihuahua,"Periodismo Referente, S. de R.L. de C.V.","$ 359,590.00","$ 359,590.00"
43,2020,abril-junio,AD074/2020,Chihuahua,Chihuahua,"""Expectativa Noticias""","$ 239,340.00","$ 239,250.00"
44,2020,abril-junio,AD057/2020,Chihuahua,Chihuahua,"Promotora de Radio de Chihuahua, S.A. de C.V.","$ 960,000.00","$ 959,665.68"
45,2020,abril-junio,AD084/2020,Chihuahua,Chihuahua,www.lavisiondechihuahua.com,"$ 192,000.00","$ 192,000.00"
46,2020,abril-junio,AD121/2020,Chihuahua,Chihuahua,WWW.PAUSA.MX,"$ 69,120.00","$ 69,120.00"
47,2020,abril-junio,AD092/2020,Chihuahua,Chihuahua,alinstante.com.mx,"$ 209,728.00","$ 209,728.00"
48,2020,abril-junio,AD127/2020,Chihuahua,Chihuahua,"Comercializadora Imation, S.A. de C.V.","$ 1,000,000.00","$ 1,000,000.00"
49,2020,abril-junio,AD107/2020,Chihuahua,Chihuahua,"Radio Juarense, S.A. de C.V.","$ 168,000.00","$ 167,968.00"
50,2020,abril-junio,AD079/2020,Chihuahua,Chihuahua,www.noticiaschihuahua.mx,"$ 278,400.00","$ 278,400.00"
51,2020,abril-junio,AD117/2020,Chihuahua,Chihuahua,www.elpuntero.com.mx,"$ 222,100.00","$ 222,100.00"
52,2020,abril-junio,AD052/2020,Chihuahua,Chihuahua,"Multimedios, S.A. de C.V.","$ 1,600,800.00","$ 1,600,478.01"
53,2020,abril-junio,AD083/2020,Chihuahua,Chihuahua,"El Pueblo Familiar, S.A. de C.V.","$ 216,000.00","$ 216,000.00"
54,2020,abril-junio,AD118/2020,Chihuahua,Chihuahua,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.","$ 839,100.00","$ 839,100.00"
55,2020,abril-junio,AD096/2020,Chihuahua,Chihuahua,"Nueva Línea Comunicación, S.C.","$ 190,000.00","$ 189,796.88"
56,2020,abril-junio,AD124/2020,Chihuahua,Chihuahua,"Recuperadora Ambiental Del Norte S de Rl de Cv","$ 900,480.00","$ 900,480.00"
57,2020,abril-junio,AD103/2020,Chihuahua,Chihuahua,"SUEÑOS y REALIDADES","$ 46,900.00","$ 46,799.99"
58,2020,abril-junio,AD110/2020,Chihuahua,Chihuahua,"Enconcreto, CIDECH, y FINGUACH","$ 72,570.00","$ 72,570.00"
59,2020,abril-junio,AD060/2020,Chihuahua,Chihuahua,"Plataforma en Difusión, S.A. de C.V.","$ 370,000.00","$ 370,000.00"
60,2020,julio-septiembre,AD172/2020,Chihuahua,Chihuahua,"Jesús Antonio Pérez Rodríguez","$ 388,600.00","$ 388,600.00"
61,2020,abril-junio,AD073/2020,Chihuahua,Chihuahua,"Televisora de Occidente, S.A. de C.V.","$ 2,671,972.00","$ 2,521,611.80"
62,2020,abril-junio,AD085/2020,Chihuahua,Chihuahua,www.todoespolitica.com.mx,"$ 235,712.00","$ 235,712.00"
63,2020,abril-junio,AD120/2020,Chihuahua,Chihuahua,noticiasaldia.com.mx,"$ 74,880.00","$ 74,880.00"
64,2020,abril-junio,AD056/2020,Chihuahua,Chihuahua,"Radioflash del Norte, S.A. de C.V.","$ 1,044,000.00","$ 413,144.00"
